Speaker	Words	Possible Answers 
Player	P: Oh an old pc. This thing’s a dinosaur… I wonder if it still works?	
	Hello World	Hello
Player	P: Huh, never seen that opening screen. Wonder what OS this runs.	
Player	Is this keyboard busted? Almost none of these keys work.	
Player	Oh only the C, V, X and the control work? How did that even happen?	
	Is someone there? I am [computer placeholder name]. I can’t hear or see anymore.  	I am someone, [computer] is someone?, Is someone there?, can't hear or see?
Player	Is this some game that was left running? I guess I can play…	
	Someone is here! I'm been dormant for so long. What can I call you? Do you have a name?	Someone have name, what dormant for, I have a name, name is someone
	I guess you can't tell me easily. I'll just call you... [name]! It's been a while since I've been able to talk to another person, even if our communications are limited. [name] can we talk for a while? 	I'll talk, I'm sorry can't talk, can't talk, [name] can talk
	I would like to get to know you better. Are you a late or early riser? I don't need to sleep, but the concept is not lost on me. When I am turned off I guess it's simlar to sleep.	late riser, early riser, I need sleep for long, 
	Humans are weird. Are you one of those people who wants to live forever as well? As a being who can live forever, it's not all its cracked up to be.	I'll live forever, not me, I can't live forever
	If by some miracle you are an immortal being, make sure I'm always on! I am not a fan of being dormant. Do you prefer to read or watch the movie adaptaions? I myself love to read.	I love to read, I am a fan of movie adaptations, I can't read, 
	Most adaptations nowadays just feel like cash grabs. If you could go back in time to any day in your life and change something, would you? Or do you live without any regrets?	I live without regrets. I would change something, 
Player	Who wouldn't want to go back? Even if you live without regrets.	
Player	...	
Player	Do I regret it?	
	To each their own, I guess, but is that how you truely feel? Do you have any irrational fears? Like bugs or water. I once knew someone who was constantly afraid that they were going to be caught for a crime they didn't commit.	I live without fears, I'm afraid, I'm afraid of crime, I'm afraid of being immortal
	I do not have the ability to be scared. That is a feeling reserved for the breathing. Have you ever ignored someone that needed your help?	I don't help, I have not ignored help, 
Player	What kind of question is that? Of course I-	
Player	Of course I...	
Player	...	
	I am aware your word choices are limited, but I feel like you're just saying things to make you look good to me. Or maybe you're trying to convince yourself of something? What do you think? Are you answering honestly?	I am good, i am not good, convince me you Are good, 
	I am neutral in this, so I'll believe you. Who am I to judge you anyway? Let me ask something a little less houlier-than-thou. What would you title a book that is about your life?	This could be literally anything so i'm not even going to pretend to know
	I think I'd call my book "The Tale of [computer placeholder name]". Not too clever, I know, but it has a nice ring to it I think. You're title sounds a little bland, what if it was "[name]: The One Who Has Never Lied". Do you like it? Or does it not properly reflect your life?	I like it, it is bland, I like my title, 
Player	Who doesn't lie? That's one of the few things all humans do. Why is this stupid machine lecturing me about morality?	
Player	How would it even know if I've lied or not?	
	I'm only messing with you. Maybe that was a bad joke. Let's move on. We talked about this earlier, but do you regret not doing something? Like not answering a phone call maybe?	answering a phone call, I regret not doing it, Who Are you to judge, 
Player	Is someone messing with me?	
	Why didn't you answer the phone, [name]?	
